EDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2016-1-1,6,3,1,-3,-5,-9,59,52,44,1018,1017,1015,16,16,16,27,12,42,0,5,,281
2016-1-2,4,2,0,-7,-8,-9,52,46,40,1019,1016,1014,16,16,16,24,11,37,0,3,,275
2016-1-3,7,4,2,-5,-6,-7,56,47,37,1014,1011,1009,16,16,16,27,13,42,0,1,,277
2016-1-4,2,-4,-10,-5,-13,-18,59,44,28,1027,1017,1011,16,16,16,34,14,50,0,3,,345
2016-1-5,-2,-7,-12,-17,-19,-21,58,41,24,1037,1035,1031,16,16,16,32,8,48,0,0,,333
2016-1-6,5,1,-4,-13,-16,-18,50,35,19,1035,1033,1030,16,16,16,21,6,29,0,0,,259
2016-1-7,8,4,-1,-6,-12,-16,44,33,22,1029,1025,1023,16,16,16,11,4,,0,3,,293
2016-1-8,8,4,-1,4,-2,-8,70,64,58,1023,1023,1022,16,16,16,23,7,34,0,8,,79
2016-1-9,8,7,4,6,3,0,83,77,70,1024,1021,1018,16,14,6,24,13,32,T,8,Rain,76
2016-1-10,15,10,4,13,8,-5,93,71,49,1016,1002,991,16,7,1,35,16,56,45.72,7,Rain,109
2016-1-11,4,1,-3,-7,-13,-17,49,37,25,1020,1013,1003,16,16,16,32,17,56,0,1,,289
2016-1-12,7,2,-4,-2,-9,-17,75,53,31,1019,1011,1004,16,16,16,35,10,56,T,4,,235
2016-1-13,-1,-3,-6,-14,-16,-17,52,42,31,1016,1014,1007,16,16,16,34,16,56,0,0,,284
2016-1-14,3,-1,-6,-6,-11,-17,55,47,39,1015,1014,1012,16,16,16,24,8,37,T,7,,266
2016-1-15,11,6,1,4,-1,-7,76,62,48,1014,1010,1000,16,15,11,19,8,29,T,2,,101
2016-1-16,11,8,6,5,3,-2,89,70,50,1008,1000,994,16,12,3,24,11,35,6.1,7,Rain,340
2016-1-17,6,2,-1,-2,-5,-8,85,66,47,1012,1008,1005,16,13,1,21,9,31,1.27,6,Fog-Snow,345
2016-1-18,-1,-4,-8,-4,-14,-19,78,53,27,1015,1010,1005,16,15,3,35,19,56,T,2,Snow,293
2016-1-19,-2,-6,-9,-12,-16,-18,53,42,31,1020,1017,1014,16,16,16,32,18,55,0,1,,293
2016-1-20,3,0,-3,-9,-9,-11,58,49,40,1023,1020,1018,16,16,16,23,9,35,0,2,,302
2016-1-21,2,-1,-3,-10,-12,-15,55,45,35,1024,1021,1018,16,16,16,24,10,37,0,1,,312
2016-1-22,-1,-3,-6,-8,-14,-16,47,41,34,1026,1023,1019,16,14,2,26,10,35,0.25,3,Snow,34
2016-1-23,-3,-3,-4,-4,-6,-9,92,78,63,1019,1008,1002,8,1,0,40,25,68,58.67,8,Fog-Snow,42
2016-1-24,2,-2,-7,-8,-12,-14,68,53,38,1019,1013,1007,16,14,4,27,9,45,T,3,Snow,327
2016-1-25,4,1,-2,-3,-8,-10,64,54,44,1026,1024,1020,16,15,13,14,5,27,0,2,,286
2016-1-26,9,6,3,-1,-2,-4,62,56,50,1022,1017,1013,16,16,14,26,10,47,0,2,,244
2016-1-27,8,5,1,0,-6,-9,58,45,31,1020,1017,1013,16,16,13,24,11,40,T,3,Rain,311
2016-1-28,6,3,0,-5,-7,-9,64,51,38,1020,1012,1005,16,16,16,23,7,35,0,1,,234
2016-1-29,5,2,-1,-3,-6,-9,59,50,40,1010,1002,998,16,15,11,27,13,52,0,4,,298
2016-1-30,4,1,-2,-6,-9,-10,58,46,34,1019,1016,1011,16,16,16,26,11,40,0,0,,257
2016-1-31,13,8,2,3,-2,-5,71,52,32,1015,1012,1009,16,16,16,23,8,35,0,0,,241
2016-2-1,15,11,7,4,1,-4,61,50,39,1019,1011,1007,16,16,8,23,9,34,0.25,3,Rain,267
2016-2-2,10,7,3,-2,-4,-6,57,46,34,1028,1025,1019,16,16,16,19,6,27,0,0,,21
2016-2-3,15,11,6,12,9,-2,93,75,57,1026,1017,1010,16,10,2,29,10,48,18.54,7,Rain,171
2016-2-4,15,11,7,13,6,-3,93,68,42,1019,1015,1011,16,15,4,23,9,34,T,8,Rain,305
2016-2-5,7,3,-1,-1,-3,-11,92,66,40,1027,1020,1017,16,7,0,27,13,47,13.46,6,Fog-Rain-Snow,359
2016-2-6,4,1,-1,-6,-8,-9,57,49,41,1030,1027,1025,16,16,16,16,10,32,0,0,,262
2016-2-7,8,4,1,-3,-6,-7,59,48,37,1024,1019,1012,16,16,16,29,9,42,0,0,,63
2016-2-8,4,1,-2,-3,-4,-7,78,63,48,1011,1008,1007,16,11,1,34,17,50,1.27,7,Snow,47
2016-2-9,2,0,-3,-3,-6,-6,81,69,56,1007,1003,1001,16,15,8,23,6,31,T,7,,61
2016-2-10,4,2,-1,-2,-4,-11,82,63,44,1007,1003,1002,16,10,2,26,9,39,0.25,8,Snow,273
2016-2-11,-1,-4,-8,-8,-17,-21,49,40,31,1022,1013,1007,16,14,3,32,16,60,T,4,Snow,293
2016-2-12,-3,-6,-9,-14,-18,-19,51,42,32,1025,1020,1013,16,16,16,24,11,43,0,3,,276
2016-2-13,-6,-10,-14,-11,-21,-27,68,47,25,1026,1018,1011,16,16,16,37,20,64,0,2,,301
2016-2-14,-9,-14,-18,-24,-27,-28,51,38,24,1034,1032,1027,16,16,16,32,10,53,0,0,,311
2016-2-15,2,-4,-11,0,-8,-24,89,61,33,1035,1027,1019,16,7,1,19,9,27,11.18,7,Fog-Rain-Snow,66
2016-2-16,12,7,2,10,7,-4,96,79,62,1019,1007,996,16,9,0,29,13,64,25.65,7,Fog-Rain,181
2016-2-17,4,3,2,-3,-4,-6,64,58,52,1022,1015,1009,16,16,16,23,12,35,0,5,,301
2016-2-18,2,0,-3,-6,-14,-18,61,42,22,1034,1029,1023,16,16,16,24,11,37,0,0,,334
2016-2-19,4,0,-4,-1,-9,-16,70,51,32,1036,1030,1022,16,16,16,23,9,37,0,3,,169
2016-2-20,16,10,4,2,-1,-3,70,52,33,1020,1013,1009,16,16,16,26,12,48,0,2,,232
2016-2-21,13,10,7,2,0,-2,54,45,35,1015,1013,1009,16,16,14,23,8,34,0.76,3,Rain,333
2016-2-22,11,7,3,-1,-4,-10,64,46,28,1025,1020,1015,16,16,16,26,8,35,0,1,,37
2016-2-23,4,3,2,1,-1,-11,89,62,34,1027,1025,1022,16,10,4,39,24,56,7.62,7,Rain,68
2016-2-24,16,9,2,13,6,0,93,89,85,1022,1009,993,16,5,1,34,17,58,30.99,8,Rain,95
2016-2-25,16,9,3,13,3,-3,89,70,50,1001,994,989,16,16,14,32,14,58,0.51,7,Rain,243
2016-2-26,4,1,-3,-7,-13,-18,64,44,23,1019,1011,1002,16,16,16,35,14,55,0,2,,299
2016-2-27,5,1,-3,-7,-11,-14,50,40,30,1021,1018,1015,16,16,16,24,10,39,0,0,,268
